company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
Brunswick,Mercury Marine: Materials Engineering Co-op,Not stated,True,,Co-op,,Materials Engineering,"Fond du Lac, WI",unknown,54,$18–$27.5/hr,,2026-09-01T00:00:00Z,date_only,2026-09-01T05:24:29Z,https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Materials-Engineering-Co-op_JR-051139
Emerson Electric,Manufacturing Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Houston, TX, United States",unknown,8,,Six Sigma,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009736
Emerson Electric,Manufacturing Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Boulder, CO, United States",unknown,8,,Six Sigma,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009481
Emerson Electric,Manufacturing Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Shakopee, MN, United States",unknown,8,,Six Sigma,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009624
Emerson Electric,Quality Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Eden Prairie, MN, United States",unknown,8,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009443
Emerson Electric,Mechanical Design Engineering Intern,Not stated,True,,Internship,,Mechanical Design,"Shakopee, MN, United States",unknown,8,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009630
Emerson Electric,Test Engineering Intern,Not stated,True,,Internship,,Test & Validation,"Boulder, CO, United States",unknown,8,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009486
Emerson Electric,Test Engineering Intern,Not stated,True,,Internship,,Test & Validation,"Shakopee, MN, United States",unknown,8,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009677
Emerson Electric,Design Engineering Co-Op,Not stated,True,,Co-op,,Mechanical Design,"Marshalltown, IA, United States",unknown,8,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26008754
Emerson Electric,Manufacturing Engineering Co-Op,Not stated,True,,Co-op,,Manufacturing & Quality,"Marshalltown, IA, United States",unknown,8,,SolidWorks; CAD,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009034
Emerson Electric,Manufacturing and Machining Co-Op,Not stated,True,,Co-op,,Manufacturing & Quality,"Marshalltown, IA, United States",unknown,8,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26010175
Emerson Electric,Additive Manufacturing Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"Marshalltown, IA, United States",unknown,8,,SolidWorks; Siemens NX; CAD; GD&T,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009196
Emerson Electric,Materials Engineer Co-Op,Not stated,True,,Co-op,,Materials Engineering,"Marshalltown, IA, United States",unknown,8,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26008778
Emerson Electric,Quality Engineering Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"Marshalltown, IA, United States",unknown,8,,Lean Manufacturing,2026-09-01,date_only,2026-09-01T05:24:29Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009739
Niagara Bottling,Manufacturing Intern - Temple,Not stated,True,,Internship,,Manufacturing & Quality,"Temple - Temple, TX",unknown,104,,,2026-09-01T00:00:00Z,date_only,2026-09-01T05:24:29Z,https://niagarawater.wd5.myworkdayjobs.com/niagara/job/Temple---Temple-TX/Manufacturing-Intern---Temple_R56074
Texas Instruments,"2027 Manufacturing Technician Intern (Lehi, UT)",Summer 2027,False,,Internship,,Manufacturing & Quality,"Lehi, UT, United States",no-sponsorship,234,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25017496
Texas Instruments,"2027 Manufacturing Technician Intern (Dallas/Richardson, TX)",Summer 2027,False,,Internship,,Manufacturing & Quality,"Richardson, TX, United States",no-sponsorship,234,,,2026-09-01,date_only,2026-09-01T05:24:29Z,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25017474
