company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
Rocket Lab,Structural Analysis Intern Summer 2027,Summer 2027,False,,Internship,,Structures & FEA,"Long Beach, CA",citizens-only,,,Siemens NX; CAD; FEA; CAM,2026-09-11T09:37:27-04:00,exact,2026-09-11T16:43:02Z,https://job-boards.greenhouse.io/rocketlab/jobs/7986690003
WSP,Mechanical Engineering (Thermal Generation) Intern - Summer 2027,Summer 2027,False,,Internship,,"Thermal, Fluids & Propulsion","Boise, ID, United States",unknown,,,,2026-09-11,date_only,2026-09-11T16:43:02Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/94815
WSP,Structural Engineering Intern- Summer 2027,Summer 2027,False,,Internship,,Structures & FEA,"Lawrenceville, NJ, United States",unknown,,,AutoCAD,2026-09-11,date_only,2026-09-11T21:09:25Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/95114
Emerson Electric,Test Engineering Intern,Not stated,True,,Internship,,Test & Validation,"Austin, TX, United States",no-sponsorship,8,,Python; LabVIEW,2026-09-11,date_only,2026-09-11T21:09:25Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26010099
Emerson Electric,Systems Integration Intern,Summer 2027,False,,Internship,,Systems Engineering,"Round Rock, TX, United States",no-sponsorship,8,,,2026-09-11,date_only,2026-09-11T21:09:25Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26010800
Emerson Electric,Hardware Design Engineer Intern,Summer 2027,False,,Internship,,Mechanical Design,"Round Rock, TX, United States",unknown,8,,Python; C++; MATLAB; SolidWorks; Siemens NX; Creo; AutoCAD; CAD,2026-09-11,date_only,2026-09-11T21:09:25Z,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26010801
Aptiv,Quality Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Troy, MI - USA",unknown,251,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://aptiv.wd5.myworkdayjobs.com/aptiv_careers/job/Troy-MI---USA/Quality-Engineering-Intern_J000702994
Charter Manufacturing,Quality Engineer Intern (Summer 2027),Summer 2027,False,,Internship,,Manufacturing & Quality,"Charter Steel - Cleveland, OH",unknown,,,Tableau,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://chartermfg.wd5.myworkdayjobs.com/Charter_Careers/job/Charter-Steel---Cleveland-OH/Quality-Engineer-Intern--Summer-2027-_R08068
Graco,Manufacturing Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Erie, Pennsylvania, USA",no-sponsorship,,,AutoCAD; CAD; React,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://graco.wd501.myworkdayjobs.com/Graco_Careers/job/Erie-Pennsylvania-USA/Manufacturing-Engineering-Intern_R0023592
Graco,Mechanical Engineering Intern,Not stated,True,,Internship,,Mechanical Design,"Erie, Pennsylvania, USA",no-sponsorship,,,SolidWorks; Creo; CAD; FEA,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://graco.wd501.myworkdayjobs.com/Graco_Careers/job/Erie-Pennsylvania-USA/Mechanical-Engineering-Intern_R0023550
Graco,Manufacturing Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Manufacturing & Quality,"Sioux Falls, South Dakota, USA",no-sponsorship,,,SolidWorks; Creo; AutoCAD,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://graco.wd501.myworkdayjobs.com/Graco_Careers/job/Sioux-Falls-South-Dakota-USA/Manufacturing-Engineering-Intern---Summer-2027_R0023643
Jabil,"Manufacturing Engineering Co-op - January 4, 2027-July 6, 2027",Summer 2027,False,,Co-op,,Manufacturing & Quality,"Elmira, NY",unknown,69,,SolidWorks; Creo; AutoCAD; CAD; GD&T; CNC,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://jabil.wd5.myworkdayjobs.com/Jabil_Careers/job/Elmira-NY/Manufacturing-Engineering-Co-op---January-4--2027-July-6--2027_J2464367
LabCorp,Intern - Quality Engineer - Oncology,Not stated,True,,Internship,,Manufacturing & Quality,Baltimore MD,no-sponsorship,,$17.75–$20/hr,,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://labcorp.wd1.myworkdayjobs.com/external/job/Baltimore-MD/Intern---Quality-Engineer_2630918
Momentive,Summer 2027- Polymers and New Product Development Production Engineer Intern,Summer 2027,False,,Internship,,Manufacturing & Quality,US WV Friendly,unknown,44,,Six Sigma; Lean Manufacturing,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://momentive.wd1.myworkdayjobs.com/MC/job/US-WV-Friendly/Summer-2027--Polymers-and-New-Product-Development-Production-Engineer-Intern_R9799
Momentive,Summer 2027 Reliability Engineer Intern,Summer 2027,False,,Internship,,Test & Validation,US WV Friendly,unknown,44,,,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://momentive.wd1.myworkdayjobs.com/MC/job/US-WV-Friendly/Summer-2027-Reliability-Engineer-Intern_R9818-1
Moog,"Intern, Embedded Design Engineering",Fall 2026,False,,Internship,,Mechanical Design,"Blacksburg, VA",unknown,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://moog.wd5.myworkdayjobs.com/moog_external_career_site/job/Blacksburg-VA/Intern--Embedded-Design-Engineering_R-26-20053
Moog,"Intern, Mechanical Manufacturing Engineering",Not stated,True,,Internship,,Manufacturing & Quality,"Blacksburg, VA",unknown,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://moog.wd5.myworkdayjobs.com/moog_external_career_site/job/Blacksburg-VA/Intern--Mechanical-Manufacturing-Engineering_R-26-19925
Motorola,Product Quality Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Chicago, IL",unknown,191,,Six Sigma,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Chicago-IL/Product-Quality-Engineering-Intern_R68669
Oshkosh,Mechanical Engineer Intern,Not stated,True,,Internship,,Mechanical Design,"Oshkosh, Wisconsin, United States",unknown,2,,CATIA; CAD,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/Mechanical-Engineer-Intern_R50286
Philips,"Co-op-Industrial Engineering-Reedsville, PA-(January to June 2027)",Summer 2027,False,,Co-op,,Manufacturing & Quality,"Reedsville, Pennsylvania, United States",unknown,,,Six Sigma; Lean Manufacturing,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Reedsville-Pennsylvania-United-States/Co-op-Industrial-Engineering-Reedsville--PA--January-to-June-2027-_591145
Saab,Mechanical Engineer Co-Op (Summer 2027),Summer 2027,False,,Co-op,,Mechanical Design,"East Syracuse, NY (Aspen Park)",citizens-only,,$20.27–$22.3/hr,SolidWorks,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://saabusa.wd1.myworkdayjobs.com/saab_careers/job/East-Syracuse-NY-Aspen-Park/Mechanical-Engineer-Co-Op--Summer-2027-_R-03261-1
Thermo Fisher Scientific,Metrology Engineering Co-op,Not stated,True,,Co-op,,Manufacturing & Quality,"Rochester, New York, USA",no-sponsorship,368,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:09:25Z,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Rochester-New-York-USA/Metrology-Engineering-Co-op_R-01368188
The Toro Company,Mechanical Design Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Mechanical Design,"Bloomington, MN",no-sponsorship,2,,Creo; CAD; FEA; CFD; Windchill,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Design-Engineering-Intern---The-Toro-Company_JR17094
The Toro Company,Mechanical Design Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Mechanical Design,"Bloomington, MN",no-sponsorship,2,,Creo; CAD; FEA; CFD; Windchill; CNC,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Design-Engineering-Intern---The-Toro-Company_JR17151
The Toro Company,Mechanical Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Mechanical Design,"Bloomington, MN",no-sponsorship,2,,SolidWorks; Creo; AutoCAD; GD&T,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Engineering-Intern---The-Toro-Company_JR17141
The Toro Company,Mechanical Engineering Intern - Value Engineering (VAVE) - The Toro Company,Summer 2027,False,,Internship,,Mechanical Design,"Bloomington, MN",no-sponsorship,2,,GD&T,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Engineering-Intern---Value-Engineering--VAVE----The-Toro-Company_JR17204
The Toro Company,Robotics Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Controls & Mechatronics,"Bloomington, MN",no-sponsorship,2,,Python; C++,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Robotics-Engineering-Intern---The-Toro-Company_JR17194
Vermeer,Design Engineer Intern,Not stated,True,,Internship,,Mechanical Design,"Piedmont, South Carolina, USA",unknown,,,SolidWorks; FEA,2026-09-11T00:00:00Z,date_only,2026-09-11T16:43:02Z,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Piedmont-South-Carolina-USA/Design-Engineer-Intern_REQ-22255
Allegion,Summer Intern - Advanced Manufacturing Engineering,Not stated,True,,Internship,,Manufacturing & Quality,"Carmel, IN",unknown,,,Lean Manufacturing,2026-09-11T00:00:00Z,date_only,2026-09-12T04:49:32Z,https://allegion.wd5.myworkdayjobs.com/careers/job/Carmel-IN/Summer-Intern---Advanced-Manufacturing-Engineering_JR37418-1
Allegion,Summer Intern - Advanced Manufacturing Engineering,Not stated,True,,Internship,,Manufacturing & Quality,"Carmel, IN",unknown,,,Lean Manufacturing,2026-09-11T00:00:00Z,date_only,2026-09-12T04:49:32Z,https://allegion.wd5.myworkdayjobs.com/careers/job/Carmel-IN/Summer-Intern---Advanced-Manufacturing-Engineering_JR37416-1
Blue Origin,Summer 2027 Marine Mechanical & Test Engineering Internship - Undergraduate,Summer 2027,False,,Internship,,Test & Validation,"Space Coast, FL",citizens-only,,,,2026-09-11T00:00:00Z,date_only,2026-09-12T04:49:32Z,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Space-Coast-FL/Summer-2027-Marine-Mechanical---Test-Engineering-Internship---Undergraduate_R72238
Lightmatter,Silicon Packaging Engineer - Intern & New Grad,Not stated,True,,Internship,,Mechanical Design,"Mountain View, CA",unknown,4,,Python; MATLAB; SolidWorks; GD&T; ANSYS; FEA; CFD; Tolerance Analysis,2026-09-11T19:37:05-04:00,exact,2026-09-12T04:49:32Z,https://boards.greenhouse.io/lightmatter/jobs/5422712008?gh_jid=5422712008
